path,emotion,transcript
data/audio/Actor_16/03-01-05-01-02-01-16.wav,angry, Dogs are sitting by the door.
data/audio/Actor_16/03-01-06-01-02-02-16.wav,fearful, Dogs are sitting by the door.
data/audio/Actor_16/03-01-06-02-01-02-16.wav,fearful, Kids are talking by the door!
data/audio/Actor_16/03-01-05-02-01-01-16.wav,angry, Kids are talking by the door!
data/audio/Actor_16/03-01-07-01-01-01-16.wav,disgust, Kids are talking by the door.
data/audio/Actor_16/03-01-04-01-01-02-16.wav,sad, Kids are talking by the door.
data/audio/Actor_16/03-01-04-02-02-02-16.wav,sad, Dogs are sitting by the door.
data/audio/Actor_16/03-01-07-02-02-01-16.wav,disgust, Dogs are sitting by the door.
data/audio/Actor_16/03-01-08-02-02-01-16.wav,surprised, Dogs are sitting by the door.
data/audio/Actor_16/03-01-08-01-01-01-16.wav,surprised, Kids are talking by the door.
data/audio/Actor_16/03-01-03-02-02-02-16.wav,happy, Dogs are sitting by the door.
data/audio/Actor_16/03-01-03-01-01-02-16.wav,happy, Kids are talking by the door.
data/audio/Actor_16/03-01-02-02-01-01-16.wav,calm, Kids are talking by the door.
data/audio/Actor_16/03-01-01-01-02-02-16.wav,neutral, Dogs are sitting by the door.
data/audio/Actor_16/03-01-02-01-02-01-16.wav,calm, Dogs are sitting by the door.
data/audio/Actor_16/03-01-03-02-01-01-16.wav,happy, Kids are talking by the door.
data/audio/Actor_16/03-01-03-01-02-01-16.wav,happy, Dogs are sitting by the door.
data/audio/Actor_16/03-01-02-02-02-02-16.wav,calm, Dogs are sitting by the door.
data/audio/Actor_16/03-01-02-01-01-02-16.wav,calm, Kids are talking by the door.
data/audio/Actor_16/03-01-01-01-01-01-16.wav,neutral, Kids are talking by the door.
data/audio/Actor_16/03-01-06-01-01-01-16.wav,fearful, Kids are talking by the door.
data/audio/Actor_16/03-01-05-01-01-02-16.wav,angry, Kids are talking by the door.
data/audio/Actor_16/03-01-05-02-02-02-16.wav,angry, Dogs are sitting by the door.
data/audio/Actor_16/03-01-06-02-02-01-16.wav,fearful, Dogs are sitting by the door!
data/audio/Actor_16/03-01-04-01-02-01-16.wav,sad, Dogs are sitting by the door.
data/audio/Actor_16/03-01-07-01-02-02-16.wav,disgust, Dogs are sitting by the door.
data/audio/Actor_16/03-01-07-02-01-02-16.wav,disgust, Kids are talking by the door.
data/audio/Actor_16/03-01-04-02-01-01-16.wav,sad, Kids are talking by the door.
data/audio/Actor_16/03-01-08-02-01-02-16.wav,surprised, Kids are talking by the door.
data/audio/Actor_16/03-01-08-01-02-02-16.wav,surprised, Dogs are sitting by the door.
data/audio/Actor_16/03-01-02-01-02-02-16.wav,calm, Dogs are sitting by the door.
data/audio/Actor_16/03-01-01-01-02-01-16.wav,neutral, Dogs are sitting by the door.
data/audio/Actor_16/03-01-02-02-01-02-16.wav,calm, Kids are talking by the door.
data/audio/Actor_16/03-01-03-01-01-01-16.wav,happy, Kids are talking by the door.
data/audio/Actor_16/03-01-03-02-02-01-16.wav,happy, Dogs are sitting by the door.
